Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_915cb944		It's only when I hear the sounds of shuffling feet and supplies being put away that I realize that the lecture's over.	game/script.rpy	19	"[what]"
start_d48fb984		Professor Eileen's lectures are usually interesting, but today I just couldn't concentrate on it.	game/script.rpy	21	"[what]"
start_622654e3		I've had a lot of other thoughts on my mind...thoughts that culminate in a question.	game/script.rpy	23	"[what]"
start_5aee3489		It's a question that I've been meaning to ask a certain someone.	game/script.rpy	25	"[what]"
start_66c6d238		When we come out of the university, I spot her right away.	game/script.rpy	30	"[what]"
start_1d44d9d7		I've known Sylvie since we were kids. She's got a big heart and she's always been a good friend to me.	game/script.rpy	35	"[what]"
start_1c8af99f		But recently... I've felt that I want something more.	game/script.rpy	37	"[what]"
start_17a1771f		More than just talking, more than just walking home together when our classes end.	game/script.rpy	39	"[what]"
rightaway_cf214f74	s	Hi there! How was class?	game/script.rpy	58	s "[what]"
rightaway_f5f51c33	m	Good...	game/script.rpy	60	m "[what]"
rightaway_027fd9f0		I can't bring myself to admit that it all went in one ear and out the other.	game/script.rpy	62	"[what]"
rightaway_1e626e6b	m	Are you going home now? Wanna walk back with me?	game/script.rpy	64	m "[what]"
rightaway_ed1dfb9d	s	Sure!	game/script.rpy	66	s "[what]"
rightaway_03faae39		After a short while, we reach the meadows just outside the neighborhood where we both live.	game/script.rpy	71	"[what]"
rightaway_b3b54d3c		It's a scenic view I've grown used to. Autumn is especially beautiful here.	game/script.rpy	73	"[what]"
rightaway_8f173bb5		When we were children, we played in these meadows a lot, so they're full of memories.	game/script.rpy	75	"[what]"
rightaway_aa84c954	m	Hey... Umm...	game/script.rpy	77	m "[what]"
rightaway_79becbf8		She turns to me and smiles. She looks so welcoming that I feel my nervousness melt away.	game/script.rpy	82	"[what]"
rightaway_6a5d032c		I'll ask her...!	game/script.rpy	84	"[what]"
rightaway_29e68260	m	Ummm... Will you...	game/script.rpy	86	m "[what]"
rightaway_6c267868	m	Will you be my artist for a visual novel?	game/script.rpy	88	m "[what]"
rightaway_16b8cb94		Silence.	game/script.rpy	92	"[what]"
rightaway_289664f3		She looks so shocked that I begin to fear the worst. But then...	game/script.rpy	94	"[what]"
rightaway_8cb5deeb	s	Sure, but what's a "visual novel?"	game/script.rpy	98	s "[what]" nointeract
game_65cca574	m	It's a kind of videogame you can play on your computer or a console.	game/script.rpy	111	m "[what]"
game_da120cd2	m	Visual novels tell a story with pictures and music.	game/script.rpy	113	m "[what]"
game_0157c4d2	m	Sometimes, you also get to make choices that affect the outcome of the story.	game/script.rpy	115	m "[what]"
game_68b33461	s	So it's like those choose-your-adventure books?	game/script.rpy	117	s "[what]"
game_fa834128	m	Exactly! I've got lots of different ideas that I think would work.	game/script.rpy	119	m "[what]"
